! Landmark Zmap grid output
! Created by BainGeo
@output_ext_bain.dat  ,GRID,  4
        20,    0.1000000015E+31,       ,     7,       1
        80,        64,  1118000.0000,  1181000.0000,  5481000.0000,  5560000.0000
        0.0000,        0.0000,        0.0000
@
    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.8748818970E+03
    0.9773469849E+03    0.1072829224E+04    0.1154821655E+04    0.1217736694E+04
    0.1257286743E+04    0.1270776611E+04    0.1251718018E+04    0.1162132080E+04
    0.1007342957E+04    0.8055734253E+03    0.5808390503E+03    0.3557882690E+03
    0.1475968628E+03   -0.3248516846E+02   -0.1771648560E+03   -0.2810086060E+03
   -0.3400554810E+03   -0.3531805115E+03   -0.3246141052E+03   -0.2658172302E+03
   -0.1954109955E+03   -0.1365750732E+03   -0.1123367920E+03   -0.1393680573E+03
   -0.2225907135E+03   -0.3521727295E+03   -0.5049031982E+03   -0.6500242920E+03
   -0.7581141357E+03   -0.8099188232E+03   -0.8017938232E+03   -0.7454461670E+03
   -0.6623328857E+03   -0.5752039795E+03   -0.5002000732E+03   -0.4425906982E+03
   -0.3969071045E+03   -0.3503797607E+03   -0.2876727295E+03   -0.1952000732E+03
   -0.6434069824E+02    0.1062803879E+03    0.3092647400E+03    0.5281553345E+03
    0.7393858032E+03    0.9170889282E+03    0.1039733398E+04    0.1096483398E+04
    0.1090096680E+04    0.1034995117E+04    0.9508350220E+03    0.8548740845E+03
    0.7567412720E+03    0.6583975830E+03    0.5590069580E+03    0.4617257080E+03
    0.3788233643E+03    0.3315811768E+03    0.3449718018E+03    0.4391709900E+03
    0.6212373657E+03    0.8804717407E+03    0.1188471680E+04    0.1503909180E+04
    0.1779979492E+04    0.1973010742E+04    0.2050381836E+04    0.1996592773E+04
    0.1816424805E+04    0.1534104492E+04    0.1188182617E+04    0.8230419922E+03
    0.4789873047E+03    0.4924770813E+03    0.5320271606E+03    0.5949421387E+03
    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.8641293335E+03
    0.8870710449E+03    0.9084493408E+03    0.9268073120E+03    0.9408938599E+03
    0.9497490234E+03    0.9527694092E+03    0.9519737549E+03    0.8781794434E+03
    0.7352835693E+03    0.5413134766E+03    0.3211893005E+03    0.9910646820E+02
   -0.1060486755E+03   -0.2814679565E+03   -0.4185802002E+03   -0.5109774170E+03
   -0.5540572510E+03   -0.5464785767E+03   -0.4928118896E+03   -0.4055653992E+03
   -0.3051758728E+03   -0.2173672180E+03   -0.1682295380E+03   -0.1775948944E+03
   -0.2529589539E+03   -0.3857077637E+03   -0.5518105469E+03   -0.7174227295E+03
   -0.8482215576E+03   -0.9193839111E+03   -0.9225759277E+03   -0.8671057129E+03
   -0.7750814819E+03   -0.6726856079E+03   -0.5810676880E+03   -0.5103098145E+03
   -0.4578475342E+03   -0.4108118591E+03   -0.3507046509E+03   -0.2586465149E+03
   -0.1203114548E+03    0.6988499451E+02    0.3056864929E+03    0.5680260010E+03
    0.8274007568E+03    0.1050120117E+04    0.1206978271E+04    0.1281582886E+04
    0.1274541992E+04    0.1201761230E+04    0.1087176758E+04    0.9536956787E+03
    0.8164723511E+03    0.6819146729E+03    0.5523154297E+03    0.4330119629E+03
    0.3380639954E+03    0.2905128479E+03    0.3169407654E+03    0.4384551392E+03
    0.6616989746E+03    0.9737505493E+03    0.1342147461E+04    0.1720131470E+04
    0.2054926270E+04    0.2297312744E+04    0.2410428223E+04    0.2376459717E+04
    0.2200067383E+04    0.1907420044E+04    0.1540609985E+04    0.1148401489E+04
    0.7754892578E+03    0.7785096436E+03    0.7873648071E+03    0.8014513550E+03
    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.8535607300E+03
    0.7983397827E+03    0.7468820801E+03    0.7026942749E+03    0.6687878418E+03
    0.6474733276E+03    0.6402033691E+03    0.6573582153E+03    0.5990853271E+03
    0.4678791199E+03    0.2815750427E+03    0.6598223877E+02   -0.1531834412E+03
   -0.3553542786E+03   -0.5261906128E+03   -0.6558648682E+03   -0.7370114136E+03
   -0.7643973999E+03   -0.7364692993E+03   -0.6581317749E+03   -0.5429224854E+03
   -0.4130626526E+03   -0.2967769775E+03   -0.2231659393E+03   -0.2151676636E+03
   -0.2828075867E+03   -0.4186690063E+03   -0.5979152832E+03   -0.7836679077E+03
   -0.9367872314E+03   -0.1026975952E+04   -0.1041291382E+04   -0.9866837158E+03
   -0.8859009399E+03   -0.7684993286E+03   -0.6605516357E+03   -0.5768702393E+03
   -0.5177453003E+03   -0.4702099609E+03   -0.4126580811E+03   -0.3210073547E+03
   -0.1753245392E+03    0.3411233139E+02    0.3021694641E+03    0.6072144775E+03
    0.9139097290E+03    0.1180875122E+04    0.1371361572E+04    0.1463515137E+04
    0.1455831299E+04    0.1365673950E+04    0.1221185669E+04    0.1050826416E+04
    0.8751813354E+03    0.7050294800E+03    0.5457384033E+03    0.4047895508E+03
    0.2980020447E+03    0.2501471863E+03    0.2893893738E+03    0.4377515259E+03
    0.7014682617E+03    0.1065433350E+04    0.1493193726E+04    0.1932654053E+04
    0.2325168701E+04    0.2616065918E+04    0.2764313965E+04    0.2749826904E+04
    0.2577145508E+04    0.2274348145E+04    0.1887007202E+04    0.1468193970E+04
    0.1066918091E+04    0.1059648071E+04    0.1038333618E+04    0.1004427124E+04
    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.8433569336E+03
    0.7126713257E+03    0.5908917847E+03    0.4863173218E+03    0.4060744934E+03
    0.3556317444E+03    0.3384266663E+03    0.3729123535E+03    0.3296251221E+03
    0.2097050934E+03    0.3080239296E+02   -0.1804154816E+03   -0.3967647095E+03
   -0.5960542603E+03   -0.7624658203E+03   -0.8849588013E+03   -0.9552430420E+03
   -0.9674769897E+03   -0.9199017944E+03   -0.8177450562E+03   -0.6755381470E+03
   -0.5172253418E+03   -0.3734456482E+03   -0.2762060242E+03   -0.2514434814E+03
   -0.3116258850E+03   -0.4504924927E+03   -0.6424285889E+03   -0.8476264648E+03
   -0.1022295776E+04   -0.1130854248E+04   -0.1155909058E+04   -0.1102134033E+04
   -0.9928951416E+03   -0.8610057373E+03   -0.7372918701E+03   -0.6411331177E+03
   -0.5755754395E+03   -0.5275577393E+03   -0.4724729614E+03   -0.3812156067E+03
