/ 2-D RADIALLY AVERAGED POWER SPECTRUM
/
/ Average Spectrum Density  Ln(E) =   1.85096e+01
/
/   CYC/K_unit       Norm_Contr_Samp  Ln_P             3_DEPTH          5_DEPTH
/ -------------------------------------------------------------------------------
/
    2.28571e-01      4.00612e+02     -1.06682e+01      0.00000e+00      0.00000e+00
    2.32143e-01      4.09779e+02     -1.05125e+01      0.00000e+00      0.00000e+00
    2.35714e-01      4.14297e+02     -9.93033e+00      0.00000e+00      0.00000e+00
    2.39286e-01      4.17979e+02     -9.84235e+00      3.16248e-01      7.08253e-01
    2.42857e-01      4.31900e+02     -9.95871e+00      9.27496e+00      7.72300e+00
    2.46429e-01      4.30482e+02     -1.06749e+01      1.35778e+01      1.02889e+01
    2.50000e-01      4.41763e+02     -1.11775e+01      8.01393e+00      7.31004e+00
    2.53571e-01      4.44570e+02     -1.13942e+01      3.38388e-01      4.71287e+00
    2.57143e-01      4.51706e+02     -1.12078e+01      5.78630e+00      5.12715e+00
    2.60714e-01      4.61693e+02     -1.19136e+01      9.25677e+00      2.50602e+00
    2.64286e-01      4.61645e+02     -1.20387e+01      0.00000e+00      7.68349e-01
    2.67857e-01      4.73686e+02     -1.12381e+01      5.73282e-01      0.00000e+00
    2.71429e-01      4.76434e+02     -1.20902e+01      9.38940e-01      0.00000e+00
    2.75000e-01      4.83984e+02     -1.13224e+01      0.00000e+00      1.07972e+00
    2.78571e-01      4.91448e+02     -1.17002e+01      6.64487e+00      2.05467e+00
    2.82143e-01      4.92752e+02     -1.19188e+01      3.86380e+00      3.11148e+00
    2.85714e-01      5.05263e+02     -1.20470e+01      0.00000e+00      2.05303e+00
    2.89286e-01      5.08314e+02     -1.18135e+01      3.46952e+00      3.35565e+00
    2.92857e-01      5.16324e+02     -1.23584e+01      7.77165e+00      1.01159e+00
    2.96429e-01      5.21371e+02     -1.25110e+01      0.00000e+00      0.00000e+00
    3.00000e-01      5.25039e+02     -1.16218e+01      0.00000e+00      0.00000e+00
    3.03571e-01      5.37508e+02     -1.19985e+01      2.04825e+00      1.05157e+00
    3.07143e-01      5.38044e+02     -1.18057e+01      6.81671e+00      6.56170e+00
    3.10714e-01      5.48671e+02     -1.26103e+01      1.08201e+01      7.49863e+00
    3.14286e-01      5.50942e+02     -1.27769e+01      4.85905e+00      3.08466e+00
    3.17857e-01      5.59882e+02     -1.30465e+01      0.00000e+00      0.00000e+00
    3.21429e-01      5.66953e+02     -1.22002e+01      0.00000e+00      0.00000e+00
    3.25000e-01      5.69163e+02     -1.27399e+01      6.26234e+00      0.00000e+00
    3.28571e-01      5.79845e+02     -1.27623e+01      0.00000e+00      0.00000e+00
    3.32143e-01      5.82993e+02     -1.20271e+01      0.00000e+00      5.98509e-01
    3.35714e-01      5.92656e+02     -1.26981e+01      1.04511e+01      2.64141e+00
    3.39286e-01      5.96495e+02     -1.29652e+01      0.00000e+00      3.93984e+00
    3.42857e-01      6.00659e+02     -1.25355e+01      3.18052e+00      2.83850e+00
    3.46429e-01      6.11747e+02     -1.32507e+01      7.14705e+00      2.62876e+00
